Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
Rd2_i02b21,,,,,,,,,,,,,,,,intercastevworker,intercaste,8525597,,,,,,,,,,,,,,,,
Rd2_i02b22,,,,,,,,,,,,,,,,intercastevworker,intercaste,8711247,,,,,,,,,,,,,,,,
Rd2_w01b01,,,,,,,,,,,,,,,,intercastevworker,worker,4370753,,,,,,,,,,,,,,,,
Rd2_w01b02,,,,,,,,,,,,,,,,intercastevworker,worker,6005652,,,,,,,,,,,,,,,,
Rd2_w01b03,,,,,,,,,,,,,,,,intercastevworker,worker,5889267,,,,,,,,,,,,,,,,
Rd2_w01b04,,,,,,,,,,,,,,,,intercastevworker,worker,4977012,,,,,,,,,,,,,,,,
Rd2_w01b07,,,,,,,,,,,,,,,,intercastevworker,worker,5330617,,,,,,,,,,,,,,,,
Rd2_w01b09,,,,,,,,,,,,,,,,intercastevworker,worker,6090796,,,,,,,,,,,,,,,,
Rd2_w01b11,,,,,,,,,,,,,,,,intercastevworker,worker,4835887,,,,,,,,,,,,,,,,
Rd2_w01b12,,,,,,,,,,,,,,,,intercastevworker,worker,4977242,,,,,,,,,,,,,,,,
Rd2_w01b13,,,,,,,,,,,,,,,,intercastevworker,worker,4900962,,,,,,,,,,,,,,,,
Rd2_w02b16,,,,,,,,,,,,,,,,intercastevworker,worker,6787203,,,,,,,,,,,,,,,,
Rd2_w02b17,,,,,,,,,,,,,,,,intercastevworker,worker,5162582,,,,,,,,,,,,,,,,
Rd2_w02b18,,,,,,,,,,,,,,,,intercastevworker,worker,5099325,,,,,,,,,,,,,,,,
brain1.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,4806259,,,,,,,,,,,,,,,1.563,0.199548
brain3.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,4574038,,,,,,,,,,,,,,,1.629,0.215136
brain5.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,5667759,,,,,,,,,,,,,,,1.657,0.21242
brain8.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,4747845,,,,,,,,,,,,,,,1.633,0.211432
brain12.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,9716442,,,,,,,,,,,,,,,1.55,0.192708
brain13.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,4662442,,,,,,,,,,,,,,,1.606,0.203343
brain14.20x.647.10.27.23,,,,,,,,,,,,,,,,brainvbody,,7478954,,,,,,,,,,,,,,,1.583,0.198909
brain1.20x.647.11.08.23,,,,,,,,,,,,,,,,brainvbody,,10769692,,,,,,,,,,,,,,,1.612,0.207974
brain10.20x.647.11.08.23,,,,,,,,,,,,,,,,brainvbody,,8649860,,,,,,,,,,,,,,,1.591,0.203765
brain12.20x.647.11.08.23,,,,,,,,,,,,,,,,brainvbody,,11930004,,,,,,,,,,,,,,,1.616,0.21168
brain16.20x.647.11.08.23,,,,,,,,,,,,,,,,brainvbody,,9828895,,,,,,,,,,,,,,,1.575,0.191836
brain20.20x.647.11.08.23,,,,,,,,,,,,,,,,brainvbody,,8380620,,,,,,,,,,,,,,,1.605,0.200819
brain_24_20x_647.czi,,,,,,,,,,,,,,,,brainvbody,,3825259,,,,,,,,,,,,,,,1.63,0.208395
brain_26_20x_647.czi,,,,,,,,,,,,,,,,brainvbody,,7073005,,,,,,,,,,,,,,,1.606,0.205729
brain_33_20x_647.czi,,,,,,,,,,,,,,,,brainvbody,,5498368,,,,,,,,,,,,,,,1.635,0.210168
Brain1.20x.647.11.15.23,,,,,,,,,,,,,,,,brainvbody,,3225101,,,,,,,,,,,,,,,1.481,0.178992
brain14.20x.647.11.15.23,,,,,,,,,,,,,,,,brainvbody,,4033452,,,,,,,,,,,,,,,1.515,0.188972
Brain16_20x_647_11_15_23,,,,,,,,,,,,,,,,brainvbody,,3848304,,,,,,,,,,,,,,,1.564,0.19355
Brain18_20x_647_11_15_23,,,,,,,,,,,,,,,,brainvbody,,3786754,,,,,,,,,,,,,,,1.629,0.208164
brain20.20x.647.11.16.23,,,,,,,,,,,,,,,,brainvbody,,4696852,,,,,,,,,,,,,,,1.6,0.204848
brain22.20x.647.11.16.23,,,,,,,,,,,,,,,,brainvbody,,4754165,,,,,,,,,,,,,,,1.519,0.182988
brain23.20x.647.11.16.23,,,,,,,,,,,,,,,,brainvbody,,4922412,,,,,,,,,,,,,,,1.51,0.187544
brain33.20x.647.11.16.23,,,,,,,,,,,,,,,,brainvbody,,4068308,,,,,,,,,,,,,,,1.608,0.197873
231210.Brain2.20x.647,,,,,,,,,,,,,,,,brainvbody,,5570185,,,,,,,,,,,,,,,1.678,0.212014
